transaction_id,customer_id,customer_name,merchant_id,transaction_ts,amount,city,country,payment_method,status
T30001010,C151243,Ewa Mazur,M12406,2023-11-29 07:36:00,9211.3,Warszawa,FR,transfer,approved
T30001011,C291592,Tomasz Kowalski,M24997,2025-06-02 21:28:00,9464.83,Warszawa,PL,cash,declined
T30001012,C393002,Ewa Kowalski,M31403,2024-04-26 13:51:00,3291.69,Kraków,ES,cash,declined
T30001013,C253098,Jan Nowak,M29413,2023-08-14 13:30:00,1676.44,Gdańsk,ES,transfer,declined
T30001014,C12812,Kasia Wisniewski,M29888,2023-08-27 17:31:00,4136.45,Warszawa,IT,card,pending
T30001015,C341339,Anna Nowak,M37687,2024-09-02 12:21:00,7148.52,Warszawa,PL,transfer,pending
T30001016,C140885,Jan Kowalski,M37206,2025-02-27 06:39:00,9751.14,Warszawa,DE,cash,declined
T30001017,C22025,Jan Mazur,M29650,2024-09-24 04:48:00,5207.89,Kraków,FR,transfer,pending
T30001018,C40497,Jan Wojcik,M20871,2024-05-29 01:51:00,459.42,Gdańsk,DE,cash,approved
T30001019,C465591,Adam Kaczmarek,M38516,2023-08-29 19:16:00,5599.04,Gdańsk,IT,blik,pending
T30001020,C264734,Piotr Kowalski,M6513,2023-03-05 05:09:00,3022.59,Wrocław,DE,CARD,APPROVED
T30001021,C294978,Adam Kowalski,M33765,2025-07-13 13:02:00,8236.79,Warszawa,PL,blik,APPROVED
T30001022,C389196,Adam Wisniewski,M23095,2023-06-08 15:01:00,6829.71,Gdańsk,IT,transfer,approved
T30001023,C362308,Tomasz Kowalski,M42375,2025-03-14 01:47:00,4711.98,Wrocław,ES,CARD,declined
T30001024,C436348,Anna Mazur,M40071,2024-05-20 19:50:00,7503.28,Kraków,FR,cash,declined
T30001025,C161158,Adam Kowalski,M39707,2023-08-29 10:01:00,2929.85,Kraków,DE,card,pending
T30001026,C96183,Piotr Wisniewski,M45138,2023-08-04 22:04:00,1128.54,Poznań,ES,card,approved
T30001027,C210171,Adam Kowalski,M31315,2025-05-29 04:08:00,2499.58,Kraków,ES,transfer,declined
T30001028,C432104,Jan Mazur,M19515,2025-07-18 03:55:00,9109.46,Wrocław,IT,CARD,declined
T30001029,C448136,Piotr Kowalski,M14142,2025-04-18 06:06:00,4618.06,Kraków,FR,blik,pending
T30001030,C420149,Adam Mazur,M32405,2024-11-04 03:07:00,5512.41,Poznań,IT,transfer,approved
T30001031,C443154,Anna Kaczmarek,M43746,2024-12-01 15:49:00,9411.95,Poznań,PL,blik,APPROVED
T30001032,C126753,Anna Mazur,M8539,2024-05-31 22:09:00,5411.35,Warszawa,FR,transfer,declined
T30001033,C159103,Maria Wisniewski,M10902,2025-07-03 04:06:00,5571.91,Warszawa,DE,cash,approved
T30001034,C160312,Tomasz Kowalski,M42159,2025-04-29 15:39:00,8470.22,Wrocław,IT,card,approved
T30001035,C166084,Tomasz Kaczmarek,M36768,2024-08-13 12:45:00,9313.43,Kraków,IT,cash,declined
T30001036,C160356,Adam Nowak,M45837,2025-07-25 14:41:00,6683.68,Gdańsk,DE,blik,pending
T30001037,C362577,Kasia Mazur,M33838,2025-01-07 10:20:00,5270.47,Poznań,ES,CARD,declined
T30001038,C393035,Piotr Wisniewski,M38539,2023-03-27 10:01:00,1538.67,Gdańsk,FR,transfer,approved
